Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
1,m6i,4x16,388a642d751351bf,3442b65caaa02c8a,human-10x-f human-10x-r,hisat2,2.1.0+galaxy7,ok,4.0000000,17179.0000000,3206.0000000,12431349049736.0000000,17179869184.0000000,17179168768.0000000
1,m6a,16x64,75141215d3bfd32a,811e53157478eb02,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,16.0000000,68719.0000000,2096.0000000,29501860117438.0000000,68719476736.0000000,48738467840.0000000
1,m6i,4x16,388a642d751351bf,3442b65caaa02c8a,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,error,4.0000000,17179.0000000,10.0000000,117070719.0000000,17179869184.0000000,14712832.0000000
1,gcloud,8x32,e9a881d9c93aa56a,1c29c56a4902acc1,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,8.0000000,34359.0000000,4534.0000000,34945435919656.0000000,34359738368.0000000,34359713792.0000000
1,gcloud,4x16,af09c1a1c7816574,6e75b2dc0fcc9cd0,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,error,,,,,,
1,m6i,16x64,dd0f17ccbd2ef390,221083177e6c106e,human-10x-f human-10x-r,bwa_mem,0.7.17.1,ok,16.0000000,68719.0000000,6223.0000000,96918720713852.0000000,68719476736.0000000,39940329472.0000000
1,m6i,32x128,2075f859a7ae567c,dfd6678140511ea1,human-10x-f human-10x-r,hisat2,2.1.0+galaxy7,ok,32.0000000,137438.0000000,1564.0000000,44447250801393.0000000,137438953472.0000000,32343019520.0000000
1,m6a,4x16,8f0b7b3f719c220c,5d4fe4bd76720341,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,4.0000000,17179.0000000,122.0000000,96533677193.0000000,17179869184.0000000,17178918912.0000000
1,gcloud,4x16,af09c1a1c7816574,6e75b2dc0fcc9cd0,human-10x-f human-10x-r,bwa_mem,0.7.17.1,ok,4.0000000,17179.0000000,28647.0000000,114287887169901.0000000,17179869184.0000000,17179774976.0000000
1,gcloud,16x64,0515a0f9a49426dc,667a398799826972,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,16.0000000,68719.0000000,2650.0000000,36725958450148.0000000,68719476736.0000000,47911456768.0000000
1,m6a,8x32,791f912ff93315a4,af2f9838ed49ab95,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,8.0000000,34359.0000000,3317.0000000,25364698574660.0000000,34359738368.0000000,34358673408.0000000
1,m6i,4x16,388a642d751351bf,3442b65caaa02c8a,human-10x-f human-10x-r,bwa_mem,0.7.17.1,ok,4.0000000,17179.0000000,22461.0000000,88837415903091.0000000,17179869184.0000000,17178877952.0000000
1,m6a,8x32,791f912ff93315a4,af2f9838ed49ab95,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,error,8.0000000,34359.0000000,6.0000000,141398546.0000000,34359738368.0000000,14188544.0000000
1,gcloud,4x16,af09c1a1c7816574,6e75b2dc0fcc9cd0,human-10x-f human-10x-r,hisat2,2.1.0+galaxy7,ok,4.0000000,17179.0000000,4386.0000000,17280579271907.0000000,17179869184.0000000,17179770880.0000000
1,m6i,8x32,e0cc393b54795d23,983beaa55226ecd4,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,8.0000000,34359.0000000,3051.0000000,23152371214009.0000000,34359738368.0000000,34359300096.0000000
1,m6a,32x128,7577e724f44ee09a,5a8a386cce029a06,human-10x-f human-10x-r,hisat2,2.1.0+galaxy7,ok,32.0000000,137438.0000000,1914.0000000,55941115548482.0000000,137438953472.0000000,32014282752.0000000
1,gcloud,32x128,b953f28aff28d3b4,8f0f733a5f3536b6,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,ok,32.0000000,137438.0000000,2982.0000000,88432700819343.0000000,137438953472.0000000,50725285888.0000000
1,gcloud,16x64,0515a0f9a49426dc,667a398799826972,human-10x-f human-10x-r,hisat2,2.1.0+galaxy7,ok,16.0000000,68719.0000000,2452.0000000,36200844423968.0000000,68719476736.0000000,31373537280.0000000
1,m6a,32x128,7577e724f44ee09a,5a8a386cce029a06,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,error,32.0000000,137438.0000000,6.0000000,137824603.0000000,137438953472.0000000,14753792.0000000
1,gcloud,4x16,af09c1a1c7816574,6e75b2dc0fcc9cd0,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,4.0000000,17179.0000000,91.0000000,133391992156.0000000,17179869184.0000000,17179766784.0000000
1,m6i,8x32,e0cc393b54795d23,983beaa55226ecd4,human-10x-f human-10x-r,hisat2,2.1.0+galaxy7,ok,8.0000000,34359.0000000,2181.0000000,16560159563312.0000000,34359738368.0000000,30742302720.0000000
1,gcloud,8x32,e9a881d9c93aa56a,1c29c56a4902acc1,human-10x-f human-10x-r,bwa_mem,0.7.17.1,ok,8.0000000,34359.0000000,15071.0000000,120001634185184.0000000,34359738368.0000000,34359623680.0000000
1,m6a,16x64,75141215d3bfd32a,811e53157478eb02,human-10x-f human-10x-r,hisat2,2.1.0+galaxy7,error,,,,,,
1,gcloud,16x64,0515a0f9a49426dc,667a398799826972,human-10x-f human-10x-r,bwa_mem,0.7.17.1,ok,16.0000000,68719.0000000,8221.0000000,128068872997809.0000000,68719476736.0000000,40604569600.0000000
1,m6i,4x16,388a642d751351bf,3442b65caaa02c8a,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,4.0000000,17179.0000000,118.0000000,88681243822.0000000,17179869184.0000000,17179353088.0000000
1,m6a,32x128,7577e724f44ee09a,5a8a386cce029a06,human-10x-f human-10x-r,bwa_mem,0.7.17.1,ok,32.0000000,137438.0000000,4067.0000000,122803471140270.0000000,137438953472.0000000,55543431168.0000000
1,m6i,8x32,e0cc393b54795d23,983beaa55226ecd4,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,error,8.0000000,34359.0000000,5.0000000,115920482.0000000,34359738368.0000000,14315520.0000000
1,gcloud,8x32,e9a881d9c93aa56a,1c29c56a4902acc1,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,ok,8.0000000,34359.0000000,8820.0000000,69484399382697.0000000,34359738368.0000000,34359615488.0000000
1,m6a,8x32,791f912ff93315a4,af2f9838ed49ab95,human-10x-f human-10x-r,bwa_mem,0.7.17.1,ok,8.0000000,34359.0000000,13370.0000000,106568740394446.0000000,34359738368.0000000,34358456320.0000000
1,gcloud,16x64,0515a0f9a49426dc,667a398799826972,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,ok,16.0000000,68719.0000000,5360.0000000,82207871598736.0000000,68719476736.0000000,36857438208.0000000
1,gcloud,32x128,b953f28aff28d3b4,8f0f733a5f3536b6,human-10x-f human-10x-r,bwa_mem,0.7.17.1,ok,32.0000000,137438.0000000,4436.0000000,133178648884049.0000000,137438953472.0000000,51989540864.0000000
1,m6i,32x128,2075f859a7ae567c,dfd6678140511ea1,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,error,32.0000000,137438.0000000,5.0000000,116376190.0000000,137438953472.0000000,14368768.0000000
1,gcloud,32x128,b953f28aff28d3b4,8f0f733a5f3536b6,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,32.0000000,137438.0000000,1548.0000000,35973595088973.0000000,137438953472.0000000,58297049088.0000000
1,m6i,8x32,e0cc393b54795d23,983beaa55226ecd4,human-10x-f human-10x-r,bwa_mem,0.7.17.1,ok,8.0000000,34359.0000000,11115.0000000,88082148356215.0000000,34359738368.0000000,34358747136.0000000
1,m6i,16x64,dd0f17ccbd2ef390,221083177e6c106e,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,error,16.0000000,68719.0000000,5.0000000,151643535.0000000,68719476736.0000000,13910016.0000000
1,m6a,16x64,75141215d3bfd32a,811e53157478eb02,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,error,16.0000000,68719.0000000,6.0000000,150076015.0000000,68719476736.0000000,13516800.0000000
1,m6i,16x64,dd0f17ccbd2ef390,221083177e6c106e,human-10x-f human-10x-r,hisat2,2.1.0+galaxy7,ok,16.0000000,68719.0000000,1723.0000000,24896902814625.0000000,68719476736.0000000,28386009088.0000000
1,m6i,16x64,dd0f17ccbd2ef390,221083177e6c106e,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,16.0000000,68719.0000000,2073.0000000,29337240135005.0000000,68719476736.0000000,48713048064.0000000
