Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
1,m6i,16x64,48aa88d9d20c63b2,b63481cc16bad31b,human-10x-f human-10x-r,hisat2,2.1.0+galaxy7,ok,16.0000000,68719.0000000,1724.0000000,24833814495881.0000000,68719476736.0000000,27016781824.0000000
1,m6i,16x64,48aa88d9d20c63b2,a02053def574a6d8,human-30x-f human-30x-r,bwa_mem,0.7.17.1,ok,16.0000000,68719.0000000,18863.0000000,290018306373882.0000000,68719476736.0000000,68718764032.0000000
1,m6i,16x64,48aa88d9d20c63b2,a02053def574a6d8,human-30x-f human-30x-r,minimap2,2.17+galaxy4,ok,16.0000000,68719.0000000,6165.0000000,90384239970059.0000000,68719476736.0000000,68719026176.0000000
1,m6i,16x64,48aa88d9d20c63b2,a02053def574a6d8,human-30x-f human-30x-r,bowtie2,2.4.2+galaxy0,error,16.0000000,68719.0000000,6.0000000,118122381.0000000,68719476736.0000000,14450688.0000000
1,m6i,16x64,48aa88d9d20c63b2,64a4037a1971e4d1,human-1x-f human-1x-r,bowtie2,2.4.2+galaxy0,error,16.0000000,68719.0000000,10.0000000,116218943.0000000,68719476736.0000000,14815232.0000000
1,m6i,16x64,48aa88d9d20c63b2,64a4037a1971e4d1,human-1x-f human-1x-r,bwa_mem,0.7.17.1,ok,16.0000000,68719.0000000,782.0000000,9367901234650.0000000,68719476736.0000000,19358404608.0000000
1,m6i,16x64,48aa88d9d20c63b2,a02053def574a6d8,human-30x-f human-30x-r,hisat2,2.1.0+galaxy7,ok,16.0000000,68719.0000000,5279.0000000,77782239297603.0000000,68719476736.0000000,58389536768.0000000
1,m6i,16x64,48aa88d9d20c63b2,b63481cc16bad31b,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,error,16.0000000,68719.0000000,9.0000000,116752125.0000000,68719476736.0000000,14663680.0000000
1,m6i,16x64,48aa88d9d20c63b2,64a4037a1971e4d1,human-1x-f human-1x-r,hisat2,2.1.0+galaxy7,ok,16.0000000,68719.0000000,307.0000000,2340724994141.0000000,68719476736.0000000,11503284224.0000000
1,m6i,16x64,48aa88d9d20c63b2,64a4037a1971e4d1,human-1x-f human-1x-r,minimap2,2.17+galaxy4,ok,16.0000000,68719.0000000,304.0000000,2937398605204.0000000,68719476736.0000000,29366226944.0000000
1,m6i,16x64,48aa88d9d20c63b2,b63481cc16bad31b,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,16.0000000,68719.0000000,1940.0000000,27124095273523.0000000,68719476736.0000000,47248715776.0000000
1,m6i,16x64,48aa88d9d20c63b2,b63481cc16bad31b,human-10x-f human-10x-r,bwa_mem,0.7.17.1,error,16.0000000,68719.0000000,178.0000000,7765141225.0000000,68719476736.0000000,11769843712.0000000
1,m6i,16x64,207747fd73b06e46,f1589c398ff8696b,human-30x-f human-30x-r,hisat2,2.1.0+galaxy7,ok,16.0000000,68719.0000000,5296.0000000,77432477830221.0000000,68719476736.0000000,63549665280.0000000
1,m6i,16x64,207747fd73b06e46,f1589c398ff8696b,human-30x-f human-30x-r,minimap2,2.17+galaxy4,ok,16.0000000,68719.0000000,6081.0000000,88332073506845.0000000,68719476736.0000000,68718702592.0000000
1,m6i,16x64,207747fd73b06e46,38c3e03aa9d48560,human-10x-f human-10x-r,bwa_mem,0.7.17.1,ok,16.0000000,68719.0000000,6998.0000000,106019340590291.0000000,68719476736.0000000,37930070016.0000000
1,m6i,16x64,207747fd73b06e46,bffae7afe6fb9534,human-1x-f human-1x-r,minimap2,2.17+galaxy4,ok,16.0000000,68719.0000000,285.0000000,2634967802592.0000000,68719476736.0000000,30421344256.0000000
1,m6i,16x64,207747fd73b06e46,f1589c398ff8696b,human-30x-f human-30x-r,bwa_mem,0.7.17.1,ok,16.0000000,68719.0000000,18410.0000000,281273760098788.0000000,68719476736.0000000,68718559232.0000000
1,m6i,16x64,207747fd73b06e46,bffae7afe6fb9534,human-1x-f human-1x-r,bowtie2,2.4.2+galaxy0,ok,16.0000000,68719.0000000,486.0000000,5894496338344.0000000,68719476736.0000000,12916359168.0000000
1,m6i,16x64,207747fd73b06e46,38c3e03aa9d48560,human-10x-f human-10x-r,bowtie2,2.4.2+galaxy0,ok,16.0000000,68719.0000000,3766.0000000,57038047299197.0000000,68719476736.0000000,39019405312.0000000
1,m6i,16x64,207747fd73b06e46,bffae7afe6fb9534,human-1x-f human-1x-r,hisat2,2.1.0+galaxy7,ok,16.0000000,68719.0000000,181.0000000,1899297243943.0000000,68719476736.0000000,11506835456.0000000
1,m6i,16x64,207747fd73b06e46,38c3e03aa9d48560,human-10x-f human-10x-r,hisat2,2.1.0+galaxy7,ok,16.0000000,68719.0000000,1716.0000000,25038890769119.0000000,68719476736.0000000,28813668352.0000000
1,m6i,16x64,207747fd73b06e46,38c3e03aa9d48560,human-10x-f human-10x-r,minimap2,2.17+galaxy4,ok,16.0000000,68719.0000000,2035.0000000,28659064230597.0000000,68719476736.0000000,57552994304.0000000
1,m6i,16x64,207747fd73b06e46,bffae7afe6fb9534,human-1x-f human-1x-r,bwa_mem,0.7.17.1,ok,16.0000000,68719.0000000,806.0000000,9983189573798.0000000,68719476736.0000000,19333857280.0000000
1,m6i,16x64,207747fd73b06e46,f1589c398ff8696b,human-30x-f human-30x-r,bowtie2,2.4.2+galaxy0,error,16.0000000,68719.0000000,10.0000000,142107838.0000000,68719476736.0000000,12816384.0000000
